date,open,high,low,close,volume,earnings_report_pm
2026-03-17,304.670000,310.050000,304.350000,309.410000,14423553,0
2026-03-18,307.905000,310.750000,305.545000,306.300000,13848428,0
2026-03-19,303.210000,306.680000,301.000000,305.730000,15399724,0
2026-03-20,304.070000,304.370000,296.750000,298.790000,34763531,0
2026-03-23,300.530000,303.370000,298.030000,299.020000,22204112,0
2026-03-24,296.210000,297.100000,288.855000,289.200000,27411194,0
2026-03-25,292.150000,294.660000,287.370000,289.590000,22343018,0
2026-03-26,286.410000,286.515000,279.050000,280.740000,29281207,0
2026-03-27,277.400000,279.090000,273.480000,273.760000,25703300,0
2026-03-30,275.440000,276.260000,271.535000,273.140000,22752315,0
2026-03-31,277.540000,287.050000,276.760000,286.860000,31625057,0
2026-04-01,289.980000,297.985000,289.470000,294.900000,24403551,0
2026-04-02,288.990000,295.900000,287.570000,294.460000,13433366,0
2026-04-06,294.700000,298.425000,293.790000,297.660000,10121741,0
2026-04-07,300.140000,304.100000,295.425000,303.930000,17317708,0
2026-04-08,317.830000,319.390000,312.705000,314.740000,20887530,0
2026-04-09,313.190000,317.430000,309.470000,316.370000,14606751,0
2026-04-10,318.225000,319.500000,314.540000,315.720000,11997647,0
2026-04-13,315.420000,319.430000,313.690100,319.210000,12212807,0
2026-04-14,322.065000,330.640000,321.150000,330.580000,18557479,0
2026-04-15,330.560000,335.000000,328.660000,334.470000,15104096,0
2026-04-16,335.850000,337.380000,331.650100,332.770000,13949592,0
2026-04-17,334.430000,339.985000,333.290000,339.400000,19683848,0
2026-04-20,338.560000,339.160000,334.630000,335.400000,12897265,0
2026-04-21,335.585000,337.170000,329.630000,330.470000,14623836,0
2026-04-22,334.885000,338.030000,332.960000,337.730000,12954245,0
2026-04-23,339.575000,340.160000,335.060000,337.750000,13442135,0
2026-04-24,337.720000,343.690000,334.050000,342.320000,18260862,0
2026-04-27,343.880000,350.900000,340.810000,348.520000,17443019,0
2026-04-28,346.920000,349.900000,344.280000,347.500000,18502342,0
2026-04-29,345.480000,353.400000,342.430000,347.310000,22232155,1
2026-04-30,371.255000,382.630000,363.090000,381.940000,44570523,0
2026-05-01,377.980000,383.390000,375.260000,383.220000,28047873,0
2026-05-04,382.320000,384.180000,376.770000,379.640000,18275044,0
2026-05-05,381.870000,388.960000,380.350000,384.270000,15432467,0
2026-05-06,389.590000,396.380000,387.100000,395.140000,23097346,0
2026-05-07,397.060000,397.355000,390.310000,395.300000,15153626,0
2026-05-08,394.270000,398.370000,393.670000,397.050000,13762461,0
2026-05-11,390.690000,394.330000,386.230000,386.770000,16314946,0
2026-05-12,385.000000,386.440000,379.720000,383.820000,17103932,0
2026-05-13,381.905000,399.930000,381.580000,399.040000,18160118,0
2026-05-14,393.790000,399.104000,392.728000,397.170000,13805371,0
2026-05-15,393.215000,395.880000,389.760000,393.320000,15801942,0
2026-05-18,392.125000,404.470000,390.900000,393.110000,18592786,0
2026-05-19,393.300000,393.362700,383.000000,384.900000,25559382,0
2026-05-20,385.040000,390.699900,380.000000,384.900000,16488132,0
2026-05-21,382.010000,388.680000,379.480000,383.470000,16837601,0
2026-05-22,383.260000,384.870000,378.260000,379.380000,13382786,0
2026-05-26,380.995000,385.390000,379.140000,384.840000,16150933,0
2026-05-27,382.765000,389.725000,382.000000,384.830000,16893148,0
2026-05-28,383.860000,390.000000,381.250000,386.120000,20795414,0
2026-05-29,381.225000,381.650000,374.300000,376.430000,48018562,0
2026-06-01,372.575000,374.600000,369.710000,372.580000,19091887,0
2026-06-02,363.160000,369.789900,355.000000,358.390000,34648621,0
2026-06-03,358.335000,362.500000,354.380000,355.680000,43031002,0
2026-06-04,355.440000,369.860000,354.800000,369.270000,37746166,0
2026-06-05,363.380000,369.200000,361.630000,365.760000,23411519,0
2026-06-08,362.485000,363.380000,357.890000,361.170000,18738969,0
2026-06-09,364.885000,369.692200,354.720000,362.290000,19873595,0
2026-06-10,361.050000,366.310000,352.810000,353.320000,19878635,0
2026-06-11,353.050000,358.010000,343.630000,356.560000,28771804,0
2026-06-12,361.100000,364.772500,353.340000,358.160000,17657657,0
2026-06-15,365.990000,370.650000,364.650000,367.110000,17268649,0
2026-06-16,367.465000,373.600000,365.320000,371.100000,16492788,0
2026-06-17,367.050000,370.150000,360.230000,362.100000,16003508,0
2026-06-18,363.890000,369.000000,356.608200,367.460000,29339118,0
2026-06-22,357.135000,358.200000,340.940000,348.780000,32211155,0
2026-06-23,340.105000,348.720000,339.715000,346.080000,21820944,0
2026-06-24,348.720000,352.830000,341.500000,345.040000,23898376,0
2026-06-25,336.920000,343.190000,335.900000,342.190000,27687554,0
2026-06-26,340.980000,344.120000,333.690000,334.690000,82484582,0
2026-06-29,339.950000,351.970000,338.810000,351.280000,25565726,0
2026-06-30,350.960000,355.390000,348.110000,353.330000,21278449,0
2026-07-01,354.615000,359.560000,353.230000,357.890000,19546767,0
2026-07-02,356.150000,360.990000,350.320000,356.180000,15553221,0
2026-07-06,358.195000,365.680000,354.190000,364.900000,22652679,0
2026-07-07,367.235000,370.890000,362.420000,363.620000,16443932,0
2026-07-08,362.210000,364.980000,354.700000,358.710000,14710424,0
2026-07-09,351.085000,356.730000,348.660000,356.240000,17217449,0
2026-07-10,354.954000,355.680000,350.700000,355.030000,11618452,0
2026-07-13,353.990000,355.750000,349.820000,350.670000,10583514,0
2026-07-14,348.840000,357.880000,348.840000,357.330000,11252555,0
