Stock quote and option quote for ORCL on 4/13/26 17:55:59

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
155.62,N,+17.53,157.84,K,158.00,U,80 x 200,"49,717,498",139.77,155.91,139.72

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.29%,27.94,.5,Q,4/9/26,345.72,121.235,"2,876,046,000",custom expression subscription limit exceeded

Theo parameters
Theo date,Theo stock price,Theo volatility
4/13/26, 0.00$, 0.00%

17 APR 26  (4)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,"26,215","9,624",0.00%,100.00%,65 x 125,1.00,--,.00,.00,.00,.38,-.19,7.84,7.75,.52,<empty>,7.50,Q,7.80,T,17 APR 26,150,1.82,C,1.87,B,"12,347","4,527",73.15%,26.85%,29 x 29,-.24,75.63%,.03,.00,-.51,.05,1.845,0,11.44,1.76,23.06,,
,,"9,488","1,800",19.24%,80.76%,1 x 97,.82,37.83%,.04,.01,-.22,.04,.66,5.34,6.05,.34,17.44,5.90,B,6.10,J,17 APR 26,152.5,2.63,N,2.69,N,"6,269",208,65.53%,34.47%,54 x 152,-.32,76.54%,.03,-.01,-.60,.06,2.66,0,12.78,2.56,24.73,,
,,"26,274","9,249",35.37%,64.63%,41 x 467,.66,44.81%,.05,.01,-.37,.06,1.71,2.84,4.65,.23,18.72,4.45,A,4.65,A,17 APR 26,155,3.70,P,3.80,B,"3,022","3,636",57.40%,42.60%,37 x 19,-.39,78.63%,.03,-.01,-.67,.06,3.75,0,15.32,3.64,26.87,,
,,"12,426","2,547",49.08%,50.92%,12 x 60,.53,48.64%,.05,.01,-.44,.06,3.01,.34,3.41,.17,18.96,3.30,B,3.40,Q,17 APR 26,157.5,5.00,A,5.15,C,321,96,49.48%,50.52%,151 x 19,-.47,81.14%,.03,-.01,-.72,.06,5.075,0,12.35,5.00,29.20,,
,,"31,663","11,602",60.78%,39.22%,7 x 35,.41,52.38%,.05,.01,-.46,.06,2.47,0,2.54,.11,19.25,2.44,Z,2.50,P,17 APR 26,160,6.45,X,6.80,A,"1,016","2,908",42.19%,57.81%,101 x 80,-.54,84.14%,.03,-.01,-.74,.06,4.465,2.16,20.39,6.63,31.76,,
,,"5,273","4,108",70.26%,29.74%,24 x 63,.32,55.54%,.04,.01,-.44,.06,1.805,0,1.87,.08,19.39,1.76,P,1.85,D,17 APR 26,162.5,8.25,E,8.75,E,100,5,36.02%,63.98%,143 x 100,-.60,89.65%,.03,-.01,-.76,.06,3.84,4.66,17.00,8.50,35.27,,
,,"10,262","8,641",77.73%,22.27%,33 x 29,.24,58.30%,.03,.00,-.39,.05,1.31,0,1.36,.06,19.43,1.28,S,1.34,S,17 APR 26,165,10.25,A,10.65,X,694,"1,027",30.78%,69.22%,103 x 15,-.66,94.28%,.02,-.01,-.76,.06,3.29,7.16,19.87,10.60,38.51,,
,,"1,633",397,83.38%,16.62%,46 x 29,.18,61.13%,.03,.00,-.34,.04,.96,0,1.00,.06,19.55,.94,P,.98,S,17 APR 26,167.5,12.40,C,13.15,C,8,1,27.21%,72.79%,74 x 55,-.69,103.68%,.02,-.01,-.79,.06,3.115,9.66,17.09,13.90,43.50,,
,,"19,272","16,281",87.53%,12.47%,408 x 33,.14,64.07%,.02,.00,-.29,.04,.715,0,.74,.03,19.75,.70,Q,.73,M,17 APR 26,170,14.55,A,15.55,A,22,384,24.13%,75.87%,163 x 253,-.72,111.14%,.02,-.01,-.80,.05,2.89,12.16,25.75,14.69,47.82,,
,,"1,311",568,90.64%,9.36%,83 x 12,.11,66.82%,.02,.00,-.24,.03,.535,0,.55,.01,19.91,.52,W,.55,C,17 APR 26,172.5,16.25,A,18.30,X,27,0,21.31%,78.69%,128 x 148,-.75,116.71%,.02,-.01,-.79,.05,2.615,14.66,22.65,17.80,51.47,,
